CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Ink cartridges and toners,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ink-cartridges-and-toners,ink cartridges,"There are many charities which welcome unwanted ink cartridges. You can also find local stores who will refill ink cartridges so you can re-use them. Alternatively, you can take them to one of north London's reuse and recycling centres (RRC)."
IPad,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ipad,ipad,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
IPod,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ipod,ipod,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Ironing board,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ironing-board,ironing board,"Household items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) where the metal can be recycled."
Irons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/irons,irons,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Jam jars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/jam-jars,jam jars,All colours of glass can be recycled at home. Please just empty and rinse.
Japanese Knotweed,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/japanese-knotweed,"japanese knotweed, Invasive plants","Invasive plants, as well as soil or plants which might be contaminated with non-native and invasive plants like Japanese knotweed, can cause ecological damage and are considered 'hazardous' waste. Visit gov.uk Prevent The Spread of Harmful Invasive and Non Native Plants to find out how to manage and dispose of invasive plants."
Jars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/jars,jars,All colours of glass can be recycled at home. Please just empty and rinse.
Jewellery,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/jewellery,jewellery,"Small household items that are in good condition could be sold or donated for reuse or to charity. There are also online organisations such as Recycling for Good Causes that accept jewellery via the post for re-sale/recycling. If the item is not reusable, it can be disposed of in your general waste bin."
Juice bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/juice-bottles,juice bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Juice cartons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/juice-cartons,juice cartons,These can be recycled at home. Please give a quick rinse and remove plastic tops or straws.
Junk mail,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/junk-mail,junk mail,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Kettle,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/kettle,kettle,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) (opens in new window)(or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London(opens in new window). For more information visit our page about recycling electrical items(opens in new window)."
Keyboards (musical),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/keyboards-musical,keyboards musical,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) (opens in new window). or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London(opens in new window). For more information visit our page about recycling electrical items (opens in new window)."
Keys (metal),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/keys-metal,keys,Keys can be taken to one of north London's reuse and recycling centres (RRC)(opens in new window) where they can be recycled with other metals.
Kitchen appliances,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/kitchen-appliances,"kitchen appliances, large appliances, white goods,","If large kitchen appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee - visit our page about recycling electrical items (opens in new window)."
Kitchen roll,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/kitchen-roll,"kitchen roll, tissues, paper towel, napkins","Even if it’s clean, kitchen roll is not recyclable. This is because it is made from paper with very short fibres – and in order to be useful for recycling into something new, the fibres would need to be longer. Paper can only be recycled a certain number of times because the fibres get shorter each time. Please put kitchen roll in the general waste."
Laminated food pouches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/laminated-food-pouches,laminated foil,"Laminated food pouches are made from a combination of aluminium and plastic. We do not have the technology to recycle them in north London so please put them in your general waste. Some specific types of laminated pouches can be recycled through TerraCycle, alternatively, please put them in your general waste."
Lamps,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/lamps,lamps,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC)(opens in new window), if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London(opens in new window), or make use of your local council's bulky collection service. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items(opens in new window)."
Laptops,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/laptops,laptops,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) (opens in new window) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London (opens in new window). Make sure any data is erased from the device before it is recycled, sold or donated. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items (opens in new window)."
Lawnmowers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/lawnmowers,lawnmowers,"If large kitchen appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee - visit our page about recycling electrical items (opens in new window)."
Leaflets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/leaflets,leaflets,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Leftover food,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/leftover-food,leftover food,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel.There are many steps you can take to reduce food waste. For more information visit NLWA food waste page ."
Letters,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/letters,letters,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Lids,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/lids,jar lids,"The rigid lids of recyclable items can go in the recycling bin. Please note this does not include seals made from paper, plastic film or metal. That means that, as long as an item is recyclable, and the lid is solid (and not made of some kind of film), its lid can go into the recycling bin. Just follow these instructions: Give lids a quick rinse to make sure there is nothing on them.It’s helpful for the recycling process if lids are removed from containers. However, don’t worry if you accidentally leave the lid on a plastic container as this will pop off later in the sorting process."
Magazine wrapping,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/magazine-wrapping,magazine wrapping,This cannot be recycled. Please put it in your general waste bin.
Magazines,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/magazines,magazines,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Make-up pads,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/make-pads,make up pads,Make-up pads or cleansing pads are made from raw cotton and cannot be recycled (or flushed down the toilet). Please put them in the general waste. You can try to use reusable alternatives.
Margarine tubs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/margarine-tubs,margarine tubs,"These can be recycled at home. Please make sure they are clean. Remove film lids, although foil lids are recyclable, and any cardboard packaging but labels can be left on."
Mattress,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mattress,mattress,"If they're in good condition, mattresses could be sold online, taken to a charity shop or given away on Freecycle (opens in new window) or Freegle (opens in new window). Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network website page for more information)(opens in new window). Alternatively, you could take it to one of north London's reuse and recycling centres (RRC) (opens in new window) or make use of your local council's bulky collection service (opens in new window)."
Meat trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/meat-trays,meat trays,"These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Medical waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/medical-waste,clinical waste,"If you need to dispose of medical waste such as syringes, needles, swabs, or soiled dressings, speak to your GP or pharmacist to get a ‘sharps box’ and advice on how to arrange a collection. This waste should not be put in your rubbish or recycling bins as it can harm our operational staff. Follow the links below to find out about the free service your borough provides . Barnet (opens in new window) Camden (opens in new window) Enfield (opens in new window) Hackney (opens in new window) or call 020 8356 6688. Haringey (opens in new window) Islington (opens in new window) Waltham Forest (opens in new window) There are companies that offer services for commercial premises. Search online or see the waste disposal services section of the Yellow Pages or yell.com for more information."
Medicine packs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/medicine-packs,"medicine packs, headache packs,","Medicine boxes made from card can be recycled and so can plastic or glass bottles, as long as they've been rinsed out. However, blister packs or squeezable tubes containing cream need to go in your general waste."
Medicines,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/medicines,"medicines,","Unopened, unused and out-of-date medicines can be returned to pharmacies for disposal. Do not flush medicines down the toilet."
Metal,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/metal,metal,This can be recycled at one of north London's reuse and recycling centres (RRC)(opens in new window) or take it to any scrap metal merchant.
Metal containers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/metal-containers,metal containers,Empty metal containers can be taken to one of north London's reuse and recycling centres (opens in a new window) where they can be recycled.
Metal squeezable tubes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/metal-squeezable-tubes,Metel tubes,"Metal tubes that contain products such as hair dye or hand cream can only be recycled if they are totally clean inside. Unless you cut them open to remove all the contents, they should go into the general waste. Tubes that contained glue could be difficult to clean, so please put them in the general waste bin."
Microwaves,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/microwaves,microwaves,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC)(opens in a new window) or if it is smaller than 520mm x 510mm you can place it in one of the small Waste Electrical and Electronic (WEEE) banks around north London (opens in a new window). If the item is not reusable, there are lots of ways to recycle it, some boroughs offer a free collection through Clearabee - visit our page about recycling electrical items(opens in a new window) check with your council."
Milk cartons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/milk-cartons,"milk cartons, milk cartons, food cartons, tetra pak,",These can be recycled at home. Please give a quick rinse and remove plastic straws. Lids can also go in the recycling.
Mirrors,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mirrors,mirrors,"If it's in good condition, a mirror could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, it can be taken to one of north London's reuse and recycling centres (RRCs) where it can be disposed of."
Mixed glass bottles and jars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mixed-glass-bottles-and-jars,glass bottles,"Most glass can be recycled in north London, please just empty and rinse items first. Items that can be recycled Bottles of any colour Items that cannot be recycled. Glass cookware e.g. Pyrex Drinking glasses Vases and ceramics Mirrors Plate glass (this can be recycled at your local reuse and recycling centre) Window glass (take this to your local reuse and recycling centre and put in the general waste container) Light bulbs/fluorescent tubes (these can be recycled at your local reuse and recycling centre) Jars with lids removed Non-food glass bottles with lids removed e.g. perfume or aftershave"
Mixed light bulbs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mixed-light-bulbs,mixed light bulbs,Incandescent bulbs are accepted at north London's reuse and recycling centres (RRCs) for recycling and at in-store take back schemes and other lightbulb recycling outlets. Do not not put any sort of lightbulb in your mixed dry recycling bin as lightbulb glass cannot be recycled with the other glass collected that way.
Mixed paper and card,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mixed-paper-and-card,"Mixed paper , card","Most mixed paper and card can be recycled in north London. Please just make sure it has no dirt, foodstuffs, grease or paint on it.Items that can be recycledNewspapers, magazines and catalogues (but please remove any plastic wrapping or free gifts)Leaflets and flyersEnvelopes (including with a window)CardboardGreetings cards without glitterOther household paper e.g. computer paper and lettersShredded paper - but this must be put in an envelope before it goes in the recyclingItems that cannot be recycledPaper/card that is heavily stained/dirty with paint, foodstuffs or greaseGlitter-covered greetings cards or wrapping paperNon-paper gift wrap e.g. foil-based wrapping or bags which spring back when you scrunch themSticky papers e.g. post-it notes, sticky labels and paper tapeCard that has lots of sticky tape stuck to itWallpaperHygiene/sanitary products e.g. nappies, wipes, sanitary towelsTissues and used paper towelsWet wipesCotton wool or make-up padsWhat about...FurnitureTextilesHardcore and rubbleGarden WasteSmall appliances"
Mixed plastic packaging,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mixed-plastic-packaging,"plastic , bottles","Most plastic packaging can be recycled in north London, please just empty and rinse items first.Items that can be recycledDrinks bottlesCosmetics bottles e.g. shampoo or shower gelStandard cleaning product bottles e.g. washing up liquidPots, tubs, trays and punnetsItems that cannot be recycledPlastic wrapping/filmBrown plastic plant potsPlastic toysMedicine blister packsPolystyrenePlastic food bags e.g. bread bagsPlastic magazine wrappingBottles containing strong chemicals e.g. anti-freezeSingle-use plastic cutlery, plates and cupsCoat hangersLaminated plastic food/drink pouches e.g. baby food, cat food, or coffee pouches (but some of these can be recycled through TerraCycle)Toothpaste tubes (TerraCycle has a number of drop-off points for toothpaste tubes, toothbrushes and packaging)Crisp and sweet packets/wrappers (some manufacturers, such as Walkers, offer a free recycling scheme. TerraCycle has a number of drop-off points where crisp packets and biscuit wrappers can be recycled).Compostable plastic"
Mobile phones,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mobile-phones,mobile phone,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. Make sure any data is erased from the device before it is recycled, sold or donated. For more information visit our page about recycling electrical items."
Mouldy food,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mouldy-food,mouldy food,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste services, food would have to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
MP3 Players,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/mp3-players,MP3 players,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Musical instruments,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/musical-instruments,musical instruments,"Musical instruments that are in good condition can be sold, given away online or donated to charity. However, if the instrument is not in good condition and couldn't be repaired, parts made from metal or wood can be taken to one of our reuse and recycling centres (RRCs) to be recycled."
Nappies,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/nappies,nappies,"Nappies are made from a combination of natural and synthetic materials. For this reason and for hygiene reasons, they cannot be recycled and should go in the general waste (not flushed down the toilet)."
Needles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/needles,needles,"If you need to dispose of medical waste such as syringes, needles, swabs, or soiled dressings, speak to your GP or pharmacist to get a ‘sharps box’ and advice on how to arrange a collection. This waste should not be put in your rubbish or recycling bins as it can harm our operational staff.Follow the links below to find out about the free service your borough provides:Barnet (opens in new window) Camden (opens in new window) Enfield (opens in new window) Hackney (opens in new window) or call 020 8356 6688.Haringey (opens in new window) Islington (opens in new window) Waltham Forest (opens in new window) There are companies that offer services for commercial premises. Search online or see the waste disposal services section of the Yellow Pages or yell.com for more information."
Newspapers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/newspapers,newspapers,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Oil (cooking),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/oil-cooking,liquid oil,"iquid oil cannot go into your food waste bin (if your council offers a food waste service). However, it can be taken to one of north London's reuse and recycling centres (RRC). Once cooled, simply collect it in a plastic or glass bottle and take it to the RRC. The oil will be converted into high quality bio-fuel for the distribution and power-generation industries. If you cannot access an RRC, cooking oil can be put in a sealed container and disposed of your general waste bin. Alternatively, old cooking oil can also be composted at home but just make sure it's mixed well with paper or cardboard first."
Organic waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/organic-waste,Organic waste,"If your local council provides a garden waste collection service where you live, this can be added to your garden waste bin. Please make sure you do not add plastic bags, soil, turf, stones, rubble, plant pots, painted/treated wood, animal faeces, animal litter, food waste, logs over 30cm in diameter or 2m in length, or any invasive species such as Japanese Knotweed."
Out of date food,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/out-date-food,out of date food,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Packaging,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/packaging,packaging,"Cardboard packaging can be recycled at home. However, polystyrene and bubble wrap cannot be recycled so should be reused or placed in your general waste."
Paint,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/paint,leftover paint,"Paint that could be reused can be taken to some of north London's reuse and recycling centres (opens in new window) where it can be recycled. However, at present, due to COVID-19 restrictions, we cannot guarantee that all of it will be reused.If paint is too old to be reused, there are various ways to dispose of it:Water-based paint (emulsion)Take it to a north London reuse and recycling centre (RRC)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service (opens in new window).If you fully dry it out, emulsion can be disposed of in your normal rubbish bin. To dry the paint, take the lid off, add some sand or sawdust and then leave for several weeks.Oil-based paint (gloss)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service.Take it to a north London reuse and recycling centre (RRC) Paint that could be reused can be taken to some of north London's reuse and recycling centres (opens in new window) where it can be recycled. However, at present, due to COVID-19 restrictions, we cannot guarantee that all of it will be reused.If paint is too old to be reused, there are various ways to dispose of it:Water-based paint (emulsion)Take it to a north London reuse and recycling centre (RRC)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service (opens in new window).If you fully dry it out, emulsion can be disposed of in your normal rubbish bin. To dry the paint, take the lid off, add some sand or sawdust and then leave for several weeks.Oil-based paint (gloss)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service.Take it to a north London reuse and recycling centre (RRC) Paint that could be reused can be taken to some of north London's reuse and recycling centres (opens in new window) where it can be recycled. However, at present, due to COVID-19 restrictions, we cannot guarantee that all of it will be reused.If paint is too old to be reused, there are various ways to dispose of it:Water-based paint (emulsion)Take it to a north London reuse and recycling centre (RRC)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service (opens in new window).If you fully dry it out, emulsion can be disposed of in your normal rubbish bin. To dry the paint, take the lid off, add some sand or sawdust and then leave for several weeks.Oil-based paint (gloss)If you live in Barnet, Camden, Enfield, Hackney, Islington or Waltham Forest, use the free City of London Hazardous Waste Service.Take it to a north London reuse and recycling centre (RRC)"
"Paint brushes, rollers and rags",https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/paint-brushes-rollers-and-rags,"Paint brush, paint roller, paint rag","Unwanted paint brushes and rollers that are clean and in a reusable state could be given away locally or donated for reuse through online sites such as Freecycle or Gumtree. However, if they are not fit for reuse, please dispose of them in your general waste bin. These items are usually coated in paint and made from a mix of materials, which makes them difficult and costly to separate for recycling. There is currently no recycling option for these items in north London. Rags that are heavily soiled with paint or thinners should be disposed of in the general waste bin."
Paint container,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/paint-container,paint container,"Empty metal paint cans can be taken to one of north London's reuse and recycling centres where they can be recycled. However, plastic paint cans cannot be recycled so should be placed in your general waste."
Paint thinners,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/paint-thinners,paint thinners,This is classed as 'hazardous' waste so should be disposed of carefully. You will need to use the free City of London Hazardous Waste Service.
Paper towels,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/paper-towels,paper towels,"Even if it’s clean, paper towel is not recyclable. This is because it is made from paper with very short fibres - and in order to be useful for recycling into something new, the fibres would need to be longer. Paper can only be recycled a certain number of times because the fibres get shorter each time. Please put paper towel in the general waste."
Pasta,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pasta,pasta,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Pastries,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pastries,food waste,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Pencils,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pencils,pencils,"We can't recycle pencils because they are made up of a number of different materials, so please put them in your general waste."
Pens,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pens,"pens, marker pens, felt tip pens, highlighters, stationary, highlighter","We can't recycle pens so please put them in your general waste. Alternatively, any brand of pen, correction fluid pots, markers and highlighters can be recycled through TerraCycle where there are a number of drop-off locations. See their website page for more information."
Perfume bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/perfume-bottles,perfume bottles,All colours of glass can be recycled at home. Please just ensure that bottles are empty.
Pet food,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pet-food,pet food,"If your local council provides a food waste collection service where you live, you can dispose of pet food in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the pet food would need to go in your general waste bin."
Petrol,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/petrol,petrol,A small quantity of petrol can be put in the oil container at a north London reuse and recycling centre (RRC). If you need to dispose of more than 5 litres you will need to use the free City of London Hazardous Waste Service.
Pillows,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pillows,pillows,Duvets and pillows unfortunately cannot be recycled and would need to be taken to a reuse and recycling centre (RRC).
Pipes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pipes,pipes,"DIY waste from your household can be taken to one of north London's reuse and recycling centres (RRC) where it can be separated and recycled. Alternatively, you could make use of your local council's bulky collection service."
Pizza boxes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/pizza-boxes,pizza boxes,"The specification for the Materials Recovery Facilities (MRFs), which sort north Londoners’ recycling into the different individual materials includes pizza boxes as long as they are not heavily contaminated with grease or food. As most pizza boxes are likely to have oily residue, our current guidance says that they should not be included - paper/card stained with grease is listed under the ‘no’ section. However, we will shortly be updating this guidance because a small amount of grease is not a problem and as long as any separate polystyrene tray inserts are removed, pizza boxes can be recycled along with any other cardboard in the recycling.  The reason that cardboard contaminated with food and grease is a problem is because the food cannot easily be removed, so it means that when the cardboard goes for recycling it contains cardboard and food - manufacturers don’t want their cardboard to be mixed up with bits of old food. A lot of grease is a problem because it makes the fibres in the cardboard stick together so that it is more difficult for the cardboard manufacturers to separate the individual fibres for making into new cardboard."
Plasterboard,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plasterboard-0,plasterboard,This must be separated from other waste as it contains gypsum. You can take it to a north London's reuse and recycling centres (RRC) but just check with the site before going as they do not all accept plasterboard. Alternatively you could enquire with your local council whether they accept plasterboard as part of the bulky waste collection service.
Plastic bottle triggers/pumps,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-bottle-triggerspumps,plastic bottle triggers,"These can be recycled at home. Empty and rinse well, labels can be left on.Pumps and triggers on plastic bottles are likely to be a different material to the plastic bottle so, ideally, we would ask people to remove these so they are separated from the bottle. However, if the triggers/pumps remain attached to the bottles many will pop-off during processing, so will be removed that way. In addition, in some cases the recycling will go first to the Materials Recovery Facilities (MRFs), for sorting into the different individual materials, but the plastics may then go on to a second sorting plant called a plastics recovery facility (PRF) for further sorting and they will then be extracted there."
Plastic bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-bottles,"plastic bottles, cosmetics bottles","These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on"
Plastic bottles containing chemicals,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-bottles-containing-chemicals,plastic bottles chemicals,Plastic bottles containing strong chemicals that are highly poisonous are hazardous to staff and can damage the recycling equipment. Check the bottle for disposal instructions or use the free City of London Hazardous Waste Service.
Plastic cups,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-cups,plastic cups,"The end market for these types of products has never been very reliable, so the Materials Recovery Facilities which sort the recycling into different individual materials don’t want single-use plastic cutlery, plates and cups because they are unlikely to be able to sell them so that they can be made into new products."
Plastic milk bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-milk-bottles,milk bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Plastic pots,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/plastic-pots,plastic pots,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids and any cardboard packaging but labels can be left on.
